athlete_id,name
0,Precious Achiuwa
1,Steven Adams
2,Bam Adebayo
3,Ochai Agbaji
4,Santi Aldama
5,Nickeil Alexander-Walker
6,Grayson Allen
7,Jarrett Allen
8,Jose Alvarado
9,Kyle Anderson
10,Giannis Antetokounmpo
11,Thanasis Antetokounmpo
12,Cole Anthony
13,OG Anunoby
14,Ryan Arcidiacono
15,Deni Avdija
16,Deandre Ayton
17,Udoka Azubuike
18,Marvin Bagley III
19,Patrick Baldwin Jr.
20,LaMelo Ball
21,Mo Bamba
22,Paolo Banchero
23,Desmond Bane
24,Dalano Banton
25,Dominick Barlow
26,Harrison Barnes
27,Scottie Barnes
28,RJ Barrett
29,Will Barton
30,Charles Bassey
31,Keita Bates-Diop
32,Nicolas Batum
33,Darius Bazley
34,Bradley Beal
35,Malik Beasley
36,MarJon Beauchamp
37,Dāvis Bertāns
38,Patrick Beverley
39,Saddiq Bey
40,Khem Birch
41,Goga Bitadze
42,Bismack Biyombo
43,Buddy Boeheim
44,Bogdan Bogdanović
45,Bojan Bogdanović
46,Bol Bol
47,Leandro Bolmaro
48,Devin Booker
49,Brandon Boston Jr.
50,Chris Boucher
51,James Bouknight
52,Jamaree Bouyea
53,Tony Bradley
54,Malaki Branham
55,Jarrell Brantley
56,Christian Braun
57,Mikal Bridges
58,Oshae Brissett
59,Malcolm Brogdon
60,Dillon Brooks
61,Bruce Brown
62,Greg Brown III
63,Jaylen Brown
64,Kendall Brown
65,Moses Brown
66,Sterling Brown
67,Troy Brown Jr.
68,Jalen Brunson
69,Thomas Bryant
70,Reggie Bullock
71,Alec Burks
72,Deonte Burton
73,Jared Butler
74,Jimmy Butler
75,John Butler
76,Jamal Cain
77,Kentavious Caldwell-Pope
78,Facundo Campazzo
79,Vlatko Čančar
80,Clint Capela
81,Vernon Carey Jr.
82,Jevon Carter
83,Wendell Carter Jr.
84,Michael Carter-Williams
85,Alex Caruso
86,Julian Champagnie
87,Justin Champagnie
88,Kennedy Chandler
89,Max Christie
90,Josh Christopher
91,Brandon Clarke
92,Jordan Clarkson
93,Nic Claxton
94,Amir Coffey
95,John Collins
96,Zach Collins
97,Chance Comanche
98,Mike Conley
99,Pat Connaughton
100,Xavier Cooks
101,Robert Covington
102,Torrey Craig
103,Jae Crowder
104,Jarrett Culver
105,Cade Cunningham
106,Seth Curry
107,Stephen Curry
108,Dyson Daniels
109,Anthony Davis
110,Johnny Davis
111,Terence Davis
112,JD Davison
