game_id,home,away,winner,date,pts_home,pts_away,reb_home,reb_away,ast_home,ast_away,stl_home,stl_away,blk_home,blk_away
0,0,4,0,04/09/2023,121,105,45,38,29,28,8,5,2,2
1,25,22,25,04/09/2023,120,114,47,50,33,27,5,11,3,5
2,5,14,14,04/09/2023,95,106,44,49,27,23,9,8,5,5
3,23,12,23,04/09/2023,103,81,48,59,21,20,15,1,7,3
4,29,27,27,04/09/2023,105,134,42,50,22,31,6,10,6,5
5,9,21,21,04/09/2023,136,141,53,44,29,33,8,8,8,9
6,18,1,18,04/09/2023,115,100,49,43,30,25,5,8,2,4
7,20,3,20,04/09/2023,128,117,49,45,28,31,4,4,7,4
8,7,6,7,04/09/2023,113,108,42,49,25,18,7,13,8,3
9,24,16,24,04/09/2023,109,95,51,34,25,24,11,7,2,6
10,11,17,17,04/09/2023,114,119,47,53,29,22,4,3,3,5
11,26,13,13,04/09/2023,101,157,30,58,25,47,5,13,3,6
12,10,28,28,04/09/2023,109,114,51,51,28,24,11,8,5,6
13,19,15,15,04/09/2023,117,138,46,69,28,31,4,2,3,3
14,2,8,2,04/09/2023,123,110,44,43,30,29,10,13,3,1
15,3,24,3,04/08/2023,118,114,59,41,30,32,9,7,2,9
16,15,7,7,04/08/2023,131,151,45,45,34,42,5,8,4,8
17,17,26,17,04/08/2023,136,125,51,34,30,32,7,8,5,4
18,14,28,28,04/07/2023,109,112,41,48,22,21,10,11,9,9
19,10,2,10,04/07/2023,114,108,50,47,23,26,4,7,3,4
20,21,12,12,04/07/2023,115,122,42,42,29,24,7,12,3,6
21,25,0,25,04/07/2023,121,102,53,35,37,21,4,12,7,2
22,29,8,29,04/07/2023,101,84,45,57,27,17,14,6,3,6
23,4,1,1,04/07/2023,114,137,38,44,30,39,5,9,3,6
24,22,27,27,04/07/2023,131,136,38,52,32,33,11,10,7,2
25,6,9,6,04/07/2023,113,105,43,37,27,19,4,5,7,2
26,19,23,23,04/07/2023,112,115,43,50,23,24,7,6,3,4
27,16,13,13,04/07/2023,97,119,40,47,24,36,10,6,3,7
28,20,11,20,04/07/2023,121,107,54,47,25,23,6,7,6,10
29,11,24,11,04/06/2023,119,115,33,38,26,24,4,7,6,2
30,8,5,5,04/06/2023,94,118,39,42,21,31,8,13,8,7
31,15,26,15,04/06/2023,129,127,47,36,29,34,9,7,4,14
32,3,18,18,04/06/2023,98,114,45,50,24,29,5,12,2,2
33,27,2,2,04/06/2023,101,129,32,42,23,39,7,3,4,0
34,12,29,29,04/05/2023,108,123,34,38,27,36,5,6,3,7
35,21,9,9,04/05/2023,129,138,37,52,33,34,6,13,5,8
36,25,0,25,04/05/2023,97,93,48,50,20,20,5,10,7,7
37,4,23,4,04/05/2023,105,92,53,38,26,28,7,10,3,3
38,22,10,22,04/05/2023,134,116,48,39,30,23,10,10,5,9
39,6,1,6,04/05/2023,138,131,44,49,35,33,9,10,8,6
40,19,16,19,04/05/2023,123,119,39,57,24,31,4,7,7,1
41,17,20,17,04/05/2023,125,118,38,44,23,27,9,4,4,3
42,11,15,11,04/04/2023,115,94,57,38,25,25,7,7,7,5
43,23,22,22,04/04/2023,105,123,32,48,16,26,8,5,6,7
44,14,0,0,04/04/2023,100,120,42,41,27,27,3,13,4,7
45,8,5,5,04/04/2023,113,117,47,30,25,23,6,3,1,7
46,12,2,2,04/04/2023,105,118,35,33,21,26,5,12,2,2
47,10,4,4,04/04/2023,128,140,42,56,30,33,7,6,4,7
48,29,7,7,04/04/2023,102,107,40,44,21,21,6,7,8,6
49,28,24,28,04/04/2023,124,103,55,47,23,26,12,9,3,13
50,1,26,1,04/04/2023,119,109,49,49,30,23,5,7,5,7
51,13,18,13,04/04/2023,136,125,54,38,25,23,6,4,6,1
52,27,25,27,04/04/2023,103,101,37,43,21,28,3,4,7,4
53,6,16,16,04/04/2023,103,121,37,43,20,35,6,8,4,4
54,3,20,20,04/04/2023,133,135,41,44,29,27,4,6,3,7
55,4,27,4,04/02/2023,117,104,42,36,28,19,8,3,5,2
56,24,13,24,04/02/2023,112,110,47,57,24,26,11,9,7,4
57,14,0,0,04/02/2023,108,128,37,45,26,38,3,8,4,6
58,23,1,23,04/02/2023,128,107,36,47,29,29,9,1,6,3
59,7,26,26,04/02/2023,105,107,47,42,29,29,3,12,5,3
60,29,3,29,04/02/2023,111,110,40,52,25,24,6,5,2,1
61,9,10,9,04/02/2023,118,109,39,38,31,26,12,9,4,5
62,16,15,15,04/02/2023,134,142,43,52,24,31,9,8,5,3
63,8,12,8,04/02/2023,128,102,41,38,30,22,11,4,6,1
64,22,19,22,04/02/2023,132,130,53,47,28,24,10,4,3,3
65,28,20,20,04/02/2023,109,134,44,51,23,36,4,4,4,8
66,18,11,11,04/02/2023,118,128,41,38,21,31,7,4,0,6
67,5,21,5,04/02/2023,115,105,43,44,23,21,7,5,7,6
68,2,19,2,04/01/2023,129,122,36,31,27,32,6,3,0,2
69,6,17,6,04/01/2023,122,114,40,37,21,25,6,5,5,4
70,14,23,23,03/31/2023,91,121,36,42,27,25,3,12,5,4
71,27,0,27,03/31/2023,117,110,37,34,28,26,7,6,6,3
72,21,18,21,03/31/2023,121,117,56,45,30,21,5,10,4,3
73,25,3,25,03/31/2023,122,114,42,52,27,23,8,3,4,7
74,29,22,29,03/31/2023,124,107,41,46,33,23,9,6,3,3
75,5,9,9,03/31/2023,116,130,33,48,33,24,2,6,9,5
76,10,8,8,03/31/2023,109,116,51,48,24,26,5,2,5,14
77,1,17,1,03/31/2023,108,94,51,50,25,26,11,5,7,8
78,7,20,20,03/31/2023,111,123,39,53,25,28,10,10,4,5
79,28,12,28,03/31/2023,121,115,46,40,18,24,9,7,5,7
80,26,16,16,03/31/2023,114,138,33,41,29,38,9,11,6,7
81,13,15,13,03/31/2023,130,115,45,46,37,27,5,8,4,4
82,11,24,11,03/31/2023,100,93,51,51,28,19,8,11,7,5
83,24,6,6,03/30/2023,88,107,40,46,21,22,4,6,5,1
84,4,25,25,03/30/2023,99,140,45,47,22,28,4,8,1,5
85,23,20,20,03/29/2023,110,121,32,45,31,22,10,10,4,3
86,21,4,4,03/29/2023,136,149,29,52,36,28,9,5,4,5
87,29,28,29,03/29/2023,123,114,41,52,33,21,4,9,9,2
88,27,19,27,03/29/2023,116,108,43,40,26,24,9,3,4,3
89,15,3,3,03/29/2023,117,128,39,45,31,28,10,5,4,6
90,1,17,17,03/29/2023,132,141,45,32,26,28,8,8,4,4
91,18,12,18,03/29/2023,107,106,38,42,19,27,7,1,3,3
92,26,16,16,03/29/2023,80,120,45,59,18,30,5,9,6,4
93,11,7,11,03/29/2023,107,100,48,54,23,24,11,4,8,4
94,9,2,9,03/29/2023,101,92,47,35,22,20,8,5,3,0
95,18,14,14,03/28/2023,134,137,39,52,25,34,11,6,3,7
96,13,6,13,03/28/2023,120,109,41,41,32,30,11,6,4,4
97,1,8,1,03/28/2023,113,108,49,47,26,24,11,9,6,8
98,22,5,22,03/28/2023,120,118,51,40,25,20,5,5,3,6
99,0,2,0,03/28/2023,106,92,47,43,32,18,8,6,7,3
100,10,25,10,03/28/2023,130,111,43,38,33,29,7,5,3,8
101,16,7,7,03/27/2023,115,119,42,40,16,33,4,6,4,3
102,12,4,4,03/27/2023,117,126,47,50,22,28,5,5,0,4
103,24,27,24,03/27/2023,116,111,42,40,34,18,8,10,4,3
104,21,19,19,03/27/2023,104,127,43,33,20,29,6,7,3,8
105,17,23,17,03/27/2023,124,112,37,34,41,26,10,9,4,3
106,26,6,6,03/27/2023,90,124,29,53,15,31,6,5,2,6
107,3,11,11,03/27/2023,103,117,47,49,25,31,2,7,7,7
108,9,28,9,03/27/2023,137,115,39,40,35,24,11,6,8,4
109,22,1,1,03/26/2023,119,123,48,39,27,28,4,8,5,7
110,26,18,18,03/26/2023,112,118,37,42,18,23,5,13,7,2
111,25,15,25,03/26/2023,137,93,61,38,29,22,4,7,11,0
112,13,7,7,03/26/2023,96,99,37,49,25,25,9,10,2,2
113,8,29,8,03/26/2023,119,106,47,44,30,17,7,7,3,8
114,5,28,5,03/26/2023,108,91,41,36,20,20,5,6,7,1
115,0,10,0,03/26/2023,114,104,53,45,22,25,13,6,6,2
116,20,23,23,03/26/2023,108,118,38,42,24,32,5,8,4,2
117,14,19,14,03/26/2023,110,104,58,37,27,18,6,8,2,7
118,22,21,22,03/25/2023,143,130,42,32,33,33,10,7,8,7
119,2,29,29,03/25/2023,100,129,32,45,22,30,5,6,4,6
120,24,4,24,03/25/2023,129,106,48,40,28,26,4,7,3,2
121,16,3,16,03/25/2023,121,113,42,45,30,30,11,3,1,7
122,11,27,11,03/25/2023,125,105,45,36,35,21,4,3,9,7
123,17,6,6,03/25/2023,110,131,31,45,29,36,9,11,6,3
124,10,15,10,03/24/2023,136,124,43,41,29,35,3,4,8,4
125,3,4,4,03/24/2023,116,144,51,50,28,42,6,6,5,11
126,19,14,14,03/24/2023,109,117,45,43,25,32,3,7,4,4
127,1,28,1,03/24/2023,151,114,35,38,36,25,12,7,7,3
128,0,12,0,03/24/2023,118,97,46,39,25,23,12,8,9,4
129,25,21,25,03/24/2023,120,95,49,44,28,24,11,9,6,4
130,20,18,20,03/24/2023,116,111,53,45,20,21,9,6,4,5
131,13,27,13,03/24/2023,120,112,49,38,27,23,3,8,0,1
132,16,11,16,03/24/2023,135,127,33,43,29,33,6,2,3,7
133,26,23,23,03/24/2023,96,124,31,47,23,33,10,6,5,8
134,8,9,8,03/23/2023,111,106,43,44,25,26,8,8,7,8
135,17,18,17,03/23/2023,127,105,42,40,34,24,9,6,5,3
136,6,14,6,03/23/2023,115,96,52,38,26,24,11,8,0,4
137,29,5,5,03/23/2023,114,116,42,40,24,24,7,7,7,7
138,10,24,24,03/22/2023,104,118,37,41,20,28,4,7,4,2
139,7,22,7,03/22/2023,125,124,42,41,27,28,7,6,3,6
140,23,27,27,03/22/2023,91,116,42,44,18,30,7,9,4,4
141,4,15,4,03/22/2023,130,94,54,46,24,26,10,7,4,6
142,19,13,13,03/22/2023,125,127,31,44,27,33,7,7,2,5
143,2,9,2,03/22/2023,127,120,29,42,28,29,9,7,1,5
144,0,21,21,03/22/2023,114,118,40,39,21,27,11,4,7,5
145,3,26,26,03/22/2023,115,127,47,43,24,28,4,9,5,5
146,1,28,1,03/22/2023,130,125,36,48,27,27,8,6,4,3
147,20,11,20,03/22/2023,122,111,36,39,27,23,7,7,2,6
148,29,5,5,03/21/2023,109,115,49,34,25,23,6,6,5,3
149,17,18,18,03/21/2023,100,101,46,47,21,19,9,2,2,4
150,16,25,25,03/21/2023,109,132,42,43,25,33,3,9,4,3
